Counter;Sol_irradiation [Wh/sqm];P*;Q*
433;0;6.72E-05;0.00018207
434;0;0.000059705;0.000185635
435;0;5.73E-05;0.000186527
436;0;5.93E-05;0.00018207
437;0;6.53E-05;0.000192765
438;0;8.23E-05;0.000193657
439;0;0.000123731;0.000220395
440;2.66337719;0.000160648;0.000215938
441;34.62390347;0.000172197;0.000220395
442;74.1808504;0.000174344;0.000239111
443;101.2083332;0.000177764;0.000233764
444;79.90131571;0.000180653;0.000222177
445;71.91118414;0.000178315;0.000222177
446;53.26754381;0.000176833;0.000225742
447;21.30701752;0.000173205;0.000225742
448;5.32675438;0.000169896;0.00022396
449;0;0.000167991;0.000226634
450;0;0.000181697;0.000227525
451;0;0.000181267;0.000223069
452;0;0.000173705;0.000225742
453;0;0.000154328;0.000217721
454;0;0.000138986;0.000199004
455;0;0.000127073;0.0001892
456;0;0.00010604;0.0001892
457;0;9.10E-05;0.00017494
458;0;8.07E-05;0.000166919
459;0;7.59E-05;0.000168701
460;0;7.81E-05;0.000171375
461;0;8.27E-05;0.000180288
462;0;9.69E-05;0.000200787
463;0;0.000132522;0.000233764
464;0;0.000165674;0.000247133
465;13.31688595;0.000177751;0.000241785
466;37.28728066;0.00017831;0.000236438
467;55.930921;0.00018335;0.00023109
468;79.90131571;0.000186183;0.000226634
469;58.59429819;0.000185088;0.000226634
470;50.60416662;0.0001825;0.00022396
471;50.60416662;0.000177947;0.000223069
472;10.65350876;0.000175303;0.00022396
473;0;0.000171914;0.000225742
474;0;0.000185586;0.000234655
475;0;0.000184101;0.000227525
476;0;0.000175724;0.000223069
477;0;0.000157214;0.00021683
478;0;0.000141008;0.0002097
479;0;0.000127348;0.0001892
480;0;0.000108918;0.000196331
481;0;9.15E-05;0.000190983
482;0;8.12E-05;0.000178505
483;0;7.73E-05;0.000173158
484;0;7.82E-05;0.000170484
485;0;8.25E-05;0.000195439
486;0;9.73E-05;0.000213265
487;0;0.000133266;0.000248915
488;2.66337719;0.000165054;0.000254263
489;54.7745654;0.000175561;0.000247133
490;230.6560912;0.000177205;0.000248024
491;350.2938985;0.000181172;0.000240003
492;415.627377;0.00018235;0.00023822
493;564.1949679;0.000179391;0.000232873
494;523.655624;0.000178076;0.000240003
495;360.8427089;0.000175425;0.000240003
496;133.4523104;0.000172462;0.000240003
497;2.66337719;0.000170797;0.000240894
498;0;0.000185169;0.000256045
499;0;0.000186827;0.000251589
500;0;0.00017881;0.000249807
501;0;0.000158932;0.000233764
502;0;0.000143503;0.000223069
503;0;0.000132007;0.000213265
504;0;0.00011245;0.000204352
505;0;9.63E-05;0.000199896
506;0;8.73E-05;0.000186527
507;0;8.24E-05;0.000184744
508;0;8.17E-05;0.000199004
509;0;8.53E-05;0.000227525
510;0;9.91E-05;0.000256937
511;0;0.000134258;0.000262284
512;0;0.000168066;0.000270306
513;5.32675438;0.000179357;0.000269414
514;23.97039471;0.000180144;0.000272088
515;53.26754381;0.000184935;0.000253372
516;66.58442976;0.00018893;0.000230199
517;61.25767538;0.000186478;0.000222177
518;53.26754381;0.000184324;0.000212373
519;32.62944687;0.000182237;0.000213265
520;5.32675438;0.000179416;0.000225742
521;0;0.000176106;0.000241785
522;0;0.00018587;0.000248915
523;0;0.00018537;0.000251589
524;0;0.000177175;0.000251589
525;0;0.000159468;0.000246242
526;0;0.000143981;0.000246242
527;0;0.00013301;0.00022396
528;0;0.000112898;0.000205243
529;0;9.53E-05;0.0001892
530;0;8.58E-05;0.000192765
531;0;8.10E-05;0.000206134
532;0;8.26E-05;0.000222177
533;0;8.71E-05;0.000227525
534;0;9.94E-05;0.000257828
535;0;0.000132129;0.000264067
536;0;0.000164811;0.000285457
537;10.65350876;0.000175635;0.00028724
538;37.28728066;0.000175938;0.000298826
539;55.930921;0.000180593;0.000291696
540;39.95065785;0.000182102;0.000271197
541;39.95065785;0.0001792;0.000257828
542;37.28728066;0.000173924;0.000257828
543;21.30701752;0.00016815;0.000267632
544;7.99013157;0.000164708;0.000267632
545;0;0.000164894;0.000220395
546;0;0.000178182;0.000266741
547;0;0.000177446;0.000267632
548;0;0.0001666;0.000259611
549;0;0.000147928;0.000248915
550;0;0.000133502;0.000237329
551;0;0.000125939;0.000227525
552;0;0.000113165;0.000217721
553;0;1.00E-04;0.000207917
554;0;8.78E-05;0.000215047
555;0;9.13E-05;0.000214156
556;0;9.33E-05;0.000214156
557;0;9.17E-05;0.000213265
558;0;8.24E-05;0.000227525
559;0;7.47E-05;0.000249807
560;5.32675438;8.73E-05;0.000264958
561;160.3877743;9.97E-05;0.000269414
562;436.3601021;0.000116556;0.00028011
563;258.3109855;0.000127729;0.00028011
564;110.6663028;0.000137168;0.000272088
565;50.60416662;0.000135203;0.000256937
566;26.6337719;0.000126577;0.000244459
567;26.6337719;0.000119297;0.000243568
568;18.64364033;0.000115739;0.000228416
569;2.66337719;0.000116442;0.000232873
570;0;0.000134859;0.000247133
571;0;0.000139879;0.000253372
572;0;0.000128767;0.000244459
573;0;0.00010951;0.000233764
574;0;9.75E-05;0.000226634
575;0;0.000096341;0.000221286
576;0;8.39E-05;0.000205243
577;0;7.09E-05;0.000199896
578;0;6.24E-05;0.000192765
579;0;0.000056401;0.000185635
580;0;5.25E-05;0.000212373
581;0;0.000051286;0.000230199
582;0;4.83E-05;0.00023109
583;0;4.13E-05;0.000232873
584;2.66337719;4.99E-05;0.000228416
585;29.29714909;6.29E-05;0.000229307
586;69.24780695;8.19E-05;0.000237329
587;133.1688595;9.65E-05;0.000243568
588;85.22807009;0.000108201;0.000227525
589;85.22807009;0.000106644;0.000213265
590;50.60416662;9.66E-05;0.000215938
591;21.30701752;8.99E-05;0.000215047
592;7.99013157;8.76E-05;0.000220395
593;0;9.26E-05;0.000217721
594;0;0.000113686;0.00022396
595;0;0.000122604;0.000220395
596;0;0.000116685;0.000227525
597;0;0.00010511;0.000226634
598;0;9.83E-05;0.000205243
599;0;0.000100342;0.000185635
600;0;0.000087574;0.000177614
601;0;7.40E-05;0.000179396
602;0;0.000065289;0.000178505
603;0;6.31E-05;0.000181179
604;0;6.42E-05;0.000186527
605;0;7.12E-05;0.000206134
606;0;8.85E-05;0.000215938
607;0;0.000129466;0.00023822
608;2.66337719;0.000162534;0.00025248
609;13.31688595;0.000174882;0.000241785
610;45.27741224;0.000174162;0.000240003
611;74.57456133;0.000181119;0.00023822
612;69.24780695;0.000187466;0.000232873
613;85.22807009;0.000186435;0.000230199
614;39.95065785;0.000184229;0.00022396
615;37.28728066;0.000178477;0.00022396
616;7.99013157;0.000173926;0.000251589
617;0;0.000172541;0.000237329
618;0;0.000185425;0.000168701
619;0;0.000187018;0.000196331
620;0;0.000180399;0.000213265
621;0;0.000161985;0.000219503
622;0;0.000144699;0.000206134
623;0;0.0001318;0.000184744
624;0;0.000112494;0.000181179
625;0;9.74E-05;0.000168701
626;0;0.000088226;0.000166919
627;0;8.40E-05;0.00016781
628;0;8.55E-05;0.00016068
629;0;0.000089794;0.000199004
630;0;0.000102024;0.000263176
631;0;0.000136168;0.00024535
632;2.66337719;0.00016769;0.000233764
633;18.64364033;0.000176402;0.000230199
634;71.91118414;0.000174041;0.000233764
635;168.5938819;0.000177362;0.000210591
636;245.1958531;0.000182195;0.000192765
637;149.8790111;0.000179887;0.000197222
638;106.5350876;0.000177253;0.000204352
639;111.9142436;0.00017444;0.000199004
640;126.1495003;0.000171722;0.000196331
641;2.66337719;0.000167536;0.000214156
642;0;0.000179293;0.000222177
643;0;0.000183016;0.000231981
644;0;0.000174174;0.000229307
645;0;0.000155927;0.000228416
646;0;0.000141072;0.000204352
647;0;0.000129538;0.000180288
648;0;0.00011039;0.00016781
649;0;9.45E-05;0.000157115
650;0;8.35E-05;0.000158006
651;0;7.81E-05;0.000158006
652;0;7.90E-05;0.000164245
653;0;8.57E-05;0.00016781
654;0;0.000100266;0.000191874
655;0;0.000133897;0.000208808
656;2.66337719;0.000166462;0.000228416
657;34.62390347;0.000175661;0.00022396
658;82.5646929;0.000177416;0.000215047
659;101.2083332;0.000182604;0.000213265
660;150.9360002;0.000188431;0.000208808
661;118.8127268;0.00018867;0.000203461
662;179.4146297;0.000187832;0.000211482
663;58.59429819;0.000185041;0.000217721
664;18.64364033;0.000185323;0.000224851
665;2.66337719;0.000185294;0.000230199
666;0;0.000197303;0.000234655
667;0;0.000199401;0.000228416
668;0;0.000189244;0.000201678
669;0;0.000170445;0.000211482
670;0;0.000157803;0.000212373
671;0;0.000150722;0.000188309
672;0;0.000130248;0.00017494
673;0;0.00010107;0.000165136
674;0;9.11E-05;0.000179396
675;0;8.37E-05;0.000185635
676;0;8.54E-05;0.000181179
677;0;8.90E-05;0.00018207
678;0;9.81E-05;0.000195439
679;0;0.000139735;0.00022396
680;2.72796575;0.000177802;0.000244459
681;39.95065785;0.000185071;0.000241785
682;111.6367003;0.000187683;0.000242676
683;42.61403504;0.00019469;0.000248915
684;282.3765301;0.000199241;0.000244459
685;131.4028971;0.000196942;0.000233764
686;198.4322747;0.000192292;0.000224851
687;223.4477122;0.000189776;0.000248915
688;141.6136823;0.000183225;0.000235546
689;5.32675438;0.000174458;0.000242676
690;0;0.000182504;0.000244459
691;0;0.000185073;0.000240894
692;0;0.000176204;0.00023109
693;0;0.000158405;0.000207917
694;0;0.000143101;0.00022396
695;0;0.000129938;0.000198113
696;0;0.000110365;0.0001892
697;0;9.30E-05;0.00017494
698;0;0.000083884;0.000173158
699;0;8.09E-05;0.000185635
700;0;8.12E-05;0.0001892
701;0;8.55E-05;0.000204352
702;0;9.70E-05;0.000222177
703;0;0.000130704;0.000241785
704;2.66337719;0.000162068;0.000239111
705;10.65350876;0.000172865;0.000229307
706;18.64364033;0.000174125;0.000231981
707;69.24780695;0.000178433;0.000261393
708;127.8421051;0.000180681;0.00023822
709;69.24780695;0.000176577;0.000215938
710;58.59429819;0.000169727;0.000208808
711;29.29714909;0.000162073;0.000215938
712;7.99013157;0.000156247;0.00022396
713;0;0.000157015;0.000240003
714;0;0.000171532;0.000237329
715;0;0.000176114;0.00023822
716;0;0.000166628;0.00023109
717;0;0.000146967;0.000232873
718;0;0.000133058;0.000230199
719;0;0.000125584;0.000208808
720;0;0.00010979;0.000203461
721;0;9.28E-05;0.000197222
722;0;8.28E-05;0.000194548
723;0;7.66E-05;0.000213265
724;0;7.17E-05;0.000219503
725;0;7.06E-05;0.000239111
726;0;0.000066926;0.000240894
727;0;6.75E-05;0.000233764
728;7.99013157;8.36E-05;0.000241785
729;37.28728066;0.000103367;0.000247133
730;50.60416662;0.000118626;0.000264067
731;53.26754381;0.000125089;0.000270306
732;111.861842;0.000129188;0.000247133
733;171.8810489;0.000126634;0.00023109
734;98.54495604;0.00011775;0.000215938
735;159.2735708;0.000112846;0.000215047
736;34.62390347;0.000108244;0.000225742
737;5.39134294;0.000108161;0.000242676
738;0;0.000125832;0.000256045
739;0;0.000134015;0.000271197
740;0;0.000122197;0.000264067
741;0;0.00010582;0.000256045
742;0;9.51E-05;0.000237329
743;0;9.52E-05;0.000221286
744;0;8.32E-05;0.000223069
745;0;7.00E-05;0.000215938
746;0;5.90E-05;0.000215047
747;0;5.36E-05;0.000221286
748;0;5.03E-05;0.000231981
749;0;0.00004868;0.000234655
750;0;4.51E-05;0.000236438
751;0;3.97E-05;0.000243568
752;10.65350876;4.90E-05;0.000222177
753;117.4016257;6.34E-05;0.000251589
754;493.4608641;8.01E-05;0.00027298
755;347.7884964;9.21E-05;0.000278327
756;476.076835;0.000103694;0.000254263
757;390.9226795;0.000101048;0.000248024
758;239.5149684;9.26E-05;0.000220395
759;151.0728058;8.62E-05;0.000223069
760;23.97039471;8.43E-05;0.000240003
761;2.66337719;8.70E-05;0.000237329
762;0;0.000105716;0.000246242
763;0;0.000118777;0.000248024
764;0;0.000115006;0.000250698
765;0;0.000104108;0.00024535
766;0;9.79E-05;0.000237329
767;0;0.000100828;0.00023109
768;0;0.000090711;0.000203461
769;0;7.87E-05;0.000199896
770;0;7.10E-05;0.000200787
771;0;6.60E-05;0.000208808
772;0;6.72E-05;0.000206134
773;0;7.55E-05;0.000211482
774;0;9.23E-05;0.000229307
775;0;0.000131179;0.000243568
776;5.32675438;0.000165643;0.000261393
777;39.95065785;0.000175021;0.000264067
