,Waermebedarf,Waermepumpe_th,BHKW_th,Solarthermie
2019-04-13 18:00:00,-204.1974,105.94513,95.626336,2.6259338
2019-04-13 19:00:00,-192.9672,99.366324,93.600876,0.0
2019-04-13 20:00:00,-205.8012,112.75536,93.045843,0.0
2019-04-13 21:00:00,-231.4692,137.65738,93.811816,0.0
2019-04-13 22:00:00,-220.23899999999998,136.56357,83.675432,0.0
2019-04-13 23:00:00,-220.23899999999998,141.63762,78.601378,0.0
2019-04-14 00:00:00,-220.23899999999998,144.69942,75.539578,0.0
2019-04-14 01:00:00,-234.67860000000002,156.44705,78.231551,0.0
2019-04-14 02:00:00,-250.72019999999998,167.25853,83.46167,0.0
2019-04-14 03:00:00,-273.18059999999997,181.70154,91.479065,0.0
2019-04-14 04:00:00,-255.5334,162.65987,92.87353,0.0
2019-04-14 05:00:00,-258.74280000000005,151.78055,103.67588,3.2863734
2019-04-14 06:00:00,-255.5334,135.87275,104.01932,15.641326
2019-04-14 07:00:00,-281.2032,142.30351,98.68147,40.218218
2019-04-14 08:00:00,-274.7844,124.0725,86.808847,63.903051
2019-04-14 09:00:00,-263.556,104.16301,78.200713,81.192272
2019-04-14 10:00:00,-258.74280000000005,109.47008,92.125293,57.147428
2019-04-14 11:00:00,-247.51260000000002,78.850808,64.605898,104.05589
2019-04-14 12:00:00,-226.65599999999998,75.156897,71.711197,79.787906
2019-04-14 13:00:00,-215.4276,79.782875,79.798032,55.846693
2019-04-14 14:00:00,-220.23899999999998,84.156509,77.02656,59.055932
2019-04-14 15:00:00,-220.23899999999998,102.98164,90.014157,27.2432
2019-04-14 16:00:00,-242.6994,129.06393,101.88998,11.745493
2019-04-14 17:00:00,-233.0748,125.33971,100.88355,6.8515378
2019-04-14 18:00:00,-231.4692,126.72193,102.12925,2.6180217
2019-04-14 19:00:00,-234.67860000000002,130.66098,104.01762,0.0
2019-04-14 20:00:00,-234.67860000000002,134.0657,100.6129,0.0
2019-04-14 21:00:00,-234.67860000000002,139.78065,94.897946,0.0
2019-04-14 22:00:00,-233.0748,146.07282,87.001978,0.0
2019-04-14 23:00:00,-225.0522,145.7568,79.2954,0.0
