,BHKW_el,Strombedarf,Waermepumpe_el,PV
2019-04-11 21:00:00,73.074249,-32.72,-40.354249,0.0
2019-04-11 22:00:00,64.1104,-25.0,-39.1104,0.0
2019-04-11 23:00:00,55.349232,-19.84,-35.509232,0.0
2019-04-12 00:00:00,50.103654,-15.200000000000001,-34.903654,0.0
2019-04-12 01:00:00,46.206054,-12.799999999999999,-33.406054,0.0
2019-04-12 02:00:00,45.239697,-12.44,-32.799697,0.0
2019-04-12 03:00:00,44.336562,-13.08,-31.256562,0.0
2019-04-12 04:00:00,44.683719,-13.08,-31.603719,0.0
2019-04-12 05:00:00,47.476739,-11.479999999999999,-36.835703,0.83896381
2019-04-12 06:00:00,46.463838,-15.319999999999999,-35.209531,4.0656931
2019-04-12 07:00:00,41.71371,-20.64,-31.521559,10.447849
2019-04-12 08:00:00,31.618631,-25.88,-26.022912,20.28428
2019-04-12 09:00:00,26.118813,-31.68,-22.126699,27.687886
2019-04-12 10:00:00,30.143695,-37.31999999999999,-26.020386,33.196691
2019-04-12 11:00:00,28.118673,-36.8,-27.840603,36.52193
2019-04-12 12:00:00,25.524432,-33.56,-27.8579,35.893468
2019-04-12 13:00:00,23.746534,-30.439999999999998,-25.152055,31.845521
2019-04-12 14:00:00,27.498072,-27.400000000000006,-23.09908,23.001008
2019-04-12 15:00:00,38.034669,-26.880000000000003,-27.722694,16.568026
2019-04-12 16:00:00,43.632111,-28.760000000000005,-26.820887,11.948776
2019-04-12 17:00:00,60.937311,-32.04,-33.388105,4.4907935
2019-04-12 18:00:00,68.016776,-32.480000000000004,-36.278499,0.74172286
2019-04-12 19:00:00,78.144735,-33.92,-44.224735,0.0
2019-04-12 20:00:00,73.891546,-33.8,-40.091546,0.0
2019-04-12 21:00:00,73.439784,-34.12,-39.319784,0.0
2019-04-12 22:00:00,68.436368,-29.799999999999997,-38.636368,0.0
2019-04-12 23:00:00,60.846962,-26.188399999999998,-34.658562,0.0
2019-04-13 00:00:00,57.752086,-21.64,-36.112086,0.0
2019-04-13 01:00:00,56.375741,-20.28,-36.095741,0.0
2019-04-13 02:00:00,60.387157,-20.080000000000002,-40.307157,0.0
2019-04-13 03:00:00,73.217211,-24.2,-49.017211,0.0
2019-04-13 04:00:00,78.065427,-32.44,-45.625427,0.0
2019-04-13 05:00:00,84.967342,-47.394800000000004,-37.992024,0.41948191
2019-04-13 06:00:00,85.370063,-57.31040000000001,-33.689437,5.6297734
2019-04-13 07:00:00,89.232824,-61.75719999999999,-39.309155,11.833531
2019-04-13 08:00:00,80.954919,-63.676,-32.522241,15.243323
2019-04-13 09:00:00,63.416546,-66.4808,-23.992177,27.056432
2019-04-13 10:00:00,64.817957,-69.476,-19.848904,24.506947
2019-04-13 11:00:00,60.356978,-68.8096,-18.579744,27.032366
2019-04-13 12:00:00,74.246846,-67.97,-22.905055,16.628209
2019-04-13 13:00:00,67.677452,-65.7452,-22.94908,21.016828
2019-04-13 14:00:00,78.308006,-63.9664,-28.193025,13.85142
2019-04-13 15:00:00,88.707823,-59.782,-34.985155,6.0593321
2019-04-13 16:00:00,90.388303,-57.156000000000006,-37.453817,4.2215141
2019-04-13 17:00:00,85.921626,-55.48480000000001,-33.986196,3.5493697
2019-04-13 18:00:00,85.001187,-55.575199999999995,-30.270037,0.84405016
2019-04-13 19:00:00,83.200778,-54.8104,-28.390378,0.0
2019-04-13 20:00:00,82.707416,-50.4916,-32.215816,0.0
2019-04-13 21:00:00,83.388281,-44.0576,-39.330681,0.0
2019-04-13 22:00:00,74.378162,-35.36,-39.018162,0.0
2019-04-13 23:00:00,69.867892,-29.4,-40.467892,0.0
2019-04-14 00:00:00,67.146292,-25.8036,-41.342692,0.0
2019-04-14 01:00:00,69.539157,-24.840000000000003,-44.699157,0.0
2019-04-14 02:00:00,74.188151,-26.400000000000002,-47.788151,0.0
2019-04-14 03:00:00,81.314724,-29.4,-51.914724,0.0
2019-04-14 04:00:00,82.554249,-36.08,-46.474249,0.0
2019-04-14 05:00:00,92.156337,-49.84680000000001,-43.365871,1.0563343
2019-04-14 06:00:00,92.461618,-58.6684,-38.820787,5.0275689
2019-04-14 07:00:00,87.716862,-59.986000000000004,-40.658146,12.927284
2019-04-14 08:00:00,77.16342,-62.254400000000004,-35.449286,20.540266
2019-04-14 09:00:00,69.511745,-65.8484,-29.760861,26.097516
2019-04-14 10:00:00,81.889149,-68.9808,-31.277165,18.368816
2019-04-14 11:00:00,57.427465,-68.34519999999999,-22.528802,33.446537
2019-04-14 12:00:00,63.743286,-67.91600000000001,-21.473399,25.646113
2019-04-14 13:00:00,70.931584,-66.0872,-22.795107,17.950723
2019-04-14 14:00:00,68.468053,-63.4056,-24.044717,18.982264
2019-04-14 15:00:00,80.012584,-59.346,-29.423327,8.7567429
2019-04-14 16:00:00,90.568871,-57.46880000000001,-36.875408,3.7753372
2019-04-14 17:00:00,89.674266,-56.06519999999999,-35.811346,2.20228
2019-04-14 18:00:00,90.781558,-55.41680000000001,-36.206265,0.84150699
2019-04-14 19:00:00,92.460108,-55.1284,-37.331708,0.0
2019-04-14 20:00:00,89.433686,-51.1292,-38.304486,0.0
2019-04-14 21:00:00,84.35373,-44.4164,-39.93733,0.0
2019-04-14 22:00:00,77.335092,-35.6,-41.735092,0.0
2019-04-14 23:00:00,70.4848,-28.839999999999996,-41.6448,0.0
