,Strombedarf,BHKW_el,PV,Strombezug,Waermepumpe_el
2019-08-06 10:00:00,-65.7476,0.0,37.232512,28.515088,-0.0
2019-08-06 11:00:00,-64.97,0.0,39.157933,25.812067,-0.0
2019-08-06 12:00:00,-63.302400000000006,0.0,37.121719,26.180681,-0.0
2019-08-06 13:00:00,-62.95119999999999,0.0,33.910331,29.040869,-0.0
2019-08-06 14:00:00,-60.8536,0.0,27.777741,33.075859,-0.0
2019-08-06 15:00:00,-58.678799999999995,0.0,20.530556,38.148244,-0.0
2019-08-06 16:00:00,-57.60080000000001,35.048355,11.155306,11.397139,-0.0
2019-08-06 17:00:00,-56.413199999999996,50.492413,5.920787,0.0,-0.0
2019-08-06 18:00:00,-54.5448,53.043552,1.5012479,0.0,-0.0
2019-08-06 19:00:00,-50.17040000000001,49.960659,0.20974095,0.0,-0.0
2019-08-06 20:00:00,-48.378,48.378,0.0,0.0,-0.0
2019-08-06 21:00:00,-42.7772,42.7772,0.0,0.0,-0.0
2019-08-06 22:00:00,-34.44,34.44,0.0,0.0,-0.0
2019-08-06 23:00:00,-28.24,28.24,0.0,0.0,-0.0
2019-08-07 00:00:00,-24.4,24.4,0.0,0.0,-0.0
2019-08-07 01:00:00,-22.56,22.56,0.0,0.0,-0.0
2019-08-07 02:00:00,-22.640000000000004,28.845945,0.0,0.0,-6.2059452
2019-08-07 03:00:00,-23.96,32.104951,0.0,0.0,-8.1449514
2019-08-07 04:00:00,-29.08,35.179039,0.31715461,0.0,-6.4161937
2019-08-07 05:00:00,-39.800000000000004,41.531753,2.0336734,0.0,-3.7654267
2019-08-07 06:00:00,-50.612,36.359055,8.140263,6.1126815,-0.0
2019-08-07 07:00:00,-56.668,10.134532,16.591645,29.941823,-0.0
2019-08-07 08:00:00,-60.1532,0.0,23.860252,36.292948,-0.0
2019-08-07 09:00:00,-63.942800000000005,0.0,31.037568,32.905232,-0.0
2019-08-07 10:00:00,-66.584,0.0,35.435497,31.148503,-0.0
2019-08-07 11:00:00,-64.8836,0.0,37.687927,27.195673,-0.0
2019-08-07 12:00:00,-62.96359999999999,0.0,36.781801,26.181799,-0.0
2019-08-07 13:00:00,-60.650000000000006,0.0,33.616197,27.033803,-0.0
2019-08-07 14:00:00,-58.0808,0.0,28.194864,29.885936,-0.0
2019-08-07 15:00:00,-56.413199999999996,0.0,21.237897,35.175303,-0.0
2019-08-07 16:00:00,-55.1408,28.452531,13.291375,13.396895,-0.0
2019-08-07 17:00:00,-52.54599999999999,46.738283,5.807717,0.0,-0.0
2019-08-07 18:00:00,-50.332800000000006,48.616725,1.7160752,0.0,-0.0
2019-08-07 19:00:00,-44.855599999999995,44.643316,0.21228413,0.0,-0.0
2019-08-07 20:00:00,-42.5764,42.5764,0.0,0.0,-0.0
2019-08-07 21:00:00,-38.04,38.04,0.0,0.0,-0.0
2019-08-07 22:00:00,-31.120000000000005,31.12,0.0,0.0,-0.0
2019-08-07 23:00:00,-25.36,25.36,0.0,0.0,-0.0
2019-08-08 00:00:00,-21.840000000000003,21.84,0.0,0.0,-0.0
2019-08-08 01:00:00,-19.36,24.627891,0.0,0.0,-5.2678906
2019-08-08 02:00:00,-19.56,28.775222,0.0,0.0,-9.2152216
2019-08-08 03:00:00,-19.599999999999998,29.152259,0.0,0.0,-9.5522595
2019-08-08 04:00:00,-21.400000000000002,30.210976,0.21228413,0.0,-9.0232606
2019-08-08 05:00:00,-25.48,31.030807,1.7987469,0.0,-7.3495543
2019-08-08 06:00:00,-31.88,35.508568,2.297023,0.0,-5.9255907
2019-08-08 07:00:00,-38.519999999999996,40.142145,2.3281681,0.0,-3.9503134
2019-08-08 08:00:00,-44.6008,41.541432,4.3259111,0.0,-1.2665427
2019-08-08 09:00:00,-47.896,44.972008,3.6704667,0.0,-0.74647466
2019-08-08 10:00:00,-49.7424,39.566864,10.175536,0.0,-0.0
2019-08-08 11:00:00,-48.9236,17.315278,31.608322,0.0,-0.0
2019-08-08 12:00:00,-45.528,15.148257,30.379743,0.0,-0.0
2019-08-08 13:00:00,-42.63,22.366778,20.263222,0.0,-0.0
2019-08-08 14:00:00,-41.081199999999995,27.646808,13.434392,0.0,-0.0
2019-08-08 15:00:00,-39.199999999999996,27.464313,11.735687,0.0,-0.0
2019-08-08 16:00:00,-38.8,30.359233,8.4407668,0.0,-0.0
2019-08-08 17:00:00,-38.879999999999995,32.330306,6.5496942,0.0,-0.0
2019-08-08 18:00:00,-37.71999999999999,35.62259,2.0974095,0.0,-0.0
2019-08-08 19:00:00,-33.64,33.010777,0.62922286,0.0,-0.0
2019-08-08 20:00:00,-32.36,32.36,0.0,0.0,-0.0
2019-08-08 21:00:00,-29.040000000000003,29.611805,0.0,0.0,-0.57180452
2019-08-08 22:00:00,-23.199999999999996,31.529816,0.0,0.0,-8.3298162
