,BHKW_el,Strombedarf,Waermepumpe_el,PV
2019-10-18 15:00:00,30.756053,-32.08,-0.0,1.3239465
2019-10-18 16:00:00,50.168709,-35.43999999999999,-15.159677,0.43096845
2019-10-18 17:00:00,78.522249,-42.210800000000006,-36.311449,0.0
2019-10-18 18:00:00,80.66227,-43.664,-36.99827,0.0
2019-10-18 19:00:00,77.344605,-38.8212,-38.523405,0.0
2019-10-18 20:00:00,73.095697,-35.03999999999999,-38.055697,0.0
2019-10-18 21:00:00,70.634595,-34.08,-36.554595,0.0
2019-10-18 22:00:00,61.76653,-28.32,-33.44653,0.0
2019-10-18 23:00:00,54.814314,-22.799999999999997,-32.014314,0.0
2019-10-19 00:00:00,50.415914,-19.28,-31.135914,0.0
2019-10-19 01:00:00,48.120346,-18.080000000000002,-30.040346,0.0
2019-10-19 02:00:00,49.088995,-19.36,-29.728995,0.0
2019-10-19 03:00:00,52.7632,-22.840000000000003,-29.9232,0.0
2019-10-19 04:00:00,61.818249,-30.680000000000003,-31.138249,0.0
2019-10-19 05:00:00,80.399135,-47.8996,-32.499535,0.0
2019-10-19 06:00:00,95.061362,-61.77440000000001,-33.286962,0.0
2019-10-19 07:00:00,99.046312,-66.8052,-32.308386,0.067273667
2019-10-19 08:00:00,99.654721,-67.486,-32.336905,0.16818417
2019-10-19 09:00:00,99.105436,-69.5768,-29.808906,0.28027043
2019-10-19 10:00:00,98.271949,-71.4828,-27.192791,0.403642
2019-10-19 11:00:00,90.259839,-69.828,-20.902755,0.47091567
2019-10-19 12:00:00,84.60288,-68.27680000000001,-17.200638,0.87455766
2019-10-19 13:00:00,66.281453,-66.4508,-2.1882128,2.3575599
2019-10-19 14:00:00,76.217764,-64.1776,-13.488881,1.4487171
2019-10-19 15:00:00,86.540252,-60.910399999999996,-25.999857,0.37000517
2019-10-19 16:00:00,90.05595,-61.319199999999995,-29.073118,0.33636833
2019-10-19 17:00:00,92.81133,-65.2184,-27.59293,0.0
2019-10-19 18:00:00,96.371589,-66.7144,-29.657189,0.0
2019-10-19 19:00:00,95.052022,-59.470400000000005,-35.581622,0.0
2019-10-19 20:00:00,89.219805,-52.68,-36.539805,0.0
2019-10-19 21:00:00,82.699892,-46.814800000000005,-35.885092,0.0
2019-10-19 22:00:00,72.153081,-37.92,-34.233081,0.0
2019-10-19 23:00:00,63.145168,-30.6,-32.545168,0.0
2019-10-20 00:00:00,56.497946,-26.400000000000002,-30.097946,0.0
2019-10-20 01:00:00,55.061449,-24.96,-30.101449,0.0
2019-10-20 02:00:00,54.521557,-26.08,-28.441557,0.0
2019-10-20 03:00:00,58.812281,-29.0,-29.812281,0.0
2019-10-20 04:00:00,65.9488,-35.68,-30.2688,0.0
2019-10-20 05:00:00,79.714681,-50.662000000000006,-29.052681,0.0
2019-10-20 06:00:00,94.491027,-63.3124,-31.178627,0.0
2019-10-20 07:00:00,96.753385,-67.1696,-29.797231,0.21344585
2019-10-20 08:00:00,97.692685,-67.85560000000001,-30.20709,0.37000517
2019-10-20 09:00:00,98.171315,-70.17519999999999,-28.736125,0.74001033
2019-10-20 10:00:00,94.067358,-71.6276,-23.179769,0.74001033
2019-10-20 11:00:00,84.615089,-70.4388,-15.420852,1.2445628
2019-10-20 12:00:00,66.245281,-69.1756,-0.0,2.9303185
2019-10-20 13:00:00,66.927637,-66.73639999999999,-2.1438186,1.9525815
2019-10-20 14:00:00,84.783579,-64.5368,-20.751332,0.5045525
2019-10-20 15:00:00,83.023108,-62.4568,-20.869039,0.3027315
2019-10-20 16:00:00,88.458916,-61.859199999999994,-26.7679,0.16818417
2019-10-20 17:00:00,96.787027,-66.34639999999999,-30.440627,0.0
2019-10-20 18:00:00,100.97803,-67.3012,-33.676832,0.0
2019-10-20 19:00:00,94.154032,-60.1172,-34.036832,0.0
2019-10-20 20:00:00,90.407654,-53.3332,-37.074454,0.0
2019-10-20 21:00:00,82.336778,-46.79319999999999,-35.543578,0.0
2019-10-20 22:00:00,73.903784,-38.4,-35.503784,0.0
