,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-05 02:00:00,76.198314,-16.680000000000003,-59.518314,0.0,0.0
2019-01-05 03:00:00,76.45427,-16.56,-59.89427,0.0,0.0
2019-01-05 04:00:00,78.405362,-18.68,-59.725362,0.0,0.0
2019-01-05 05:00:00,89.131416,-25.520000000000003,-63.611416,0.0,0.0
2019-01-05 06:00:00,97.486011,-36.56,-60.926011,0.0,0.0
2019-01-05 07:00:00,111.45488,-47.2264,-64.228476,0.0,0.0
2019-01-05 08:00:00,115.25894,-53.8516,-61.474613,0.0,0.067273667
2019-01-05 09:00:00,117.89489,-56.295199999999994,-61.767878,0.0,0.16818417
2019-01-05 10:00:00,117.33513,-57.724000000000004,-59.880224,0.0,0.26909467
2019-01-05 11:00:00,116.02304,-59.422000000000004,-56.93741,0.0,0.33636833
2019-01-05 12:00:00,116.70056,-59.74719999999999,-57.256088,0.0,0.3027315
2019-01-05 13:00:00,117.43922,-58.55480000000001,-59.086239,0.0,0.201821
2019-01-05 14:00:00,115.74465,-57.00880000000001,-58.870393,0.0,0.13454733
2019-01-05 15:00:00,113.35133,-55.802800000000005,-57.582166,0.0,0.033636833
2019-01-05 16:00:00,121.63572,-57.012800000000006,-64.622919,0.0,0.0
2019-01-05 17:00:00,126.63334,-63.6168,-63.016541,0.0,0.0
2019-01-05 18:00:00,125.18067,-63.0724,-62.10827,0.0,0.0
2019-01-05 19:00:00,120.86422,-60.11840000000001,-60.745816,0.0,0.0
2019-01-05 20:00:00,115.04899,-52.434,-62.614995,0.0,0.0
2019-01-05 21:00:00,109.51546,-47.414,-62.101459,0.0,0.0
2019-01-05 22:00:00,101.41743,-44.9632,-56.454227,0.0,0.0
2019-01-05 23:00:00,87.996108,-37.312,-50.684108,0.0,0.0
2019-01-06 00:00:00,83.522162,-31.4,-52.122162,0.0,0.0
2019-01-06 01:00:00,80.057168,-27.28,-52.777168,0.0,0.0
2019-01-06 02:00:00,78.227157,-25.320000000000004,-52.907157,0.0,0.0
2019-01-06 03:00:00,78.664735,-25.44,-53.224735,0.0,0.0
2019-01-06 04:00:00,80.809341,-26.439999999999998,-54.369341,0.0,0.0
2019-01-06 05:00:00,93.967395,-29.160000000000004,-64.807395,0.0,0.0
2019-01-06 06:00:00,102.23771,-36.88,-65.357708,0.0,0.0
2019-01-06 07:00:00,116.63053,-46.273199999999996,-70.35733,0.0,0.0
2019-01-06 08:00:00,119.52953,-50.43959999999999,-69.190844,0.0,0.1009105
2019-01-06 09:00:00,115.42373,-52.6484,-63.380792,0.0,0.605463
2019-01-06 10:00:00,111.81801,-55.418000000000006,-57.341845,0.0,0.94183133
2019-01-06 11:00:00,111.16539,-57.306000000000004,-54.801218,0.0,0.94183133
2019-01-06 12:00:00,112.00811,-56.821200000000005,-56.06147,0.0,0.87455766
2019-01-06 13:00:00,112.58932,-55.185199999999995,-58.245045,0.0,0.84092083
2019-01-06 14:00:00,111.27698,-52.769600000000004,-59.281026,0.0,0.77364717
2019-01-06 15:00:00,118.28253,-52.223600000000005,-66.227111,0.0,0.16818417
2019-01-06 16:00:00,123.60636,-54.574799999999996,-69.031557,0.0,0.0
2019-01-06 17:00:00,130.21436,-61.931599999999996,-68.282757,0.0,0.0
2019-01-06 18:00:00,128.49501,-62.410000000000004,-66.085005,0.0,0.0
2019-01-06 19:00:00,126.76458,-60.5816,-66.182984,0.0,0.0
2019-01-06 20:00:00,115.18703,-53.9916,-61.195427,0.0,0.0
2019-01-06 21:00:00,110.30383,-48.914,-61.389827,0.0,0.0
2019-01-06 22:00:00,103.45163,-45.3596,-58.092032,0.0,0.0
2019-01-06 23:00:00,94.457816,-37.599999999999994,-56.857816,0.0,0.0
2019-01-07 00:00:00,86.068714,-30.639999999999997,-55.428714,0.0,0.0
2019-01-07 01:00:00,82.890335,-26.439999999999998,-56.450335,0.0,0.0
2019-01-07 02:00:00,81.363027,-24.88,-56.483027,0.0,0.0
2019-01-07 03:00:00,81.318962,-25.28,-56.038962,0.0,0.0
2019-01-07 04:00:00,87.551222,-26.639999999999997,-60.911222,0.0,0.0
2019-01-07 05:00:00,96.419286,-32.4,-64.019286,0.0,0.0
2019-01-07 06:00:00,109.31066,-47.6016,-61.709059,0.0,0.0
2019-01-07 07:00:00,117.64074,-59.9844,-57.656335,0.0,0.0
2019-01-07 08:00:00,131.83669,-64.86919999999999,-67.0684,0.0,0.1009105
2019-01-07 09:00:00,131.30349,-65.9636,-65.844445,0.0,0.5045525
2019-01-07 10:00:00,119.58783,-68.2456,-52.70556,0.0,1.3633286
2019-01-07 11:00:00,110.81485,-69.506,-42.862631,0.0,1.5537845
2019-01-07 12:00:00,109.53266,-68.9568,-41.656325,0.0,1.0804605
2019-01-07 13:00:00,109.59478,-67.774,-42.772502,0.0,0.95172475
2019-01-07 14:00:00,102.95504,-65.4672,-38.902287,0.0,1.4144464
2019-01-07 15:00:00,111.86677,-64.324,-48.194936,0.0,0.65216158
2019-01-07 16:00:00,123.52843,-65.4724,-58.056032,0.0,0.0
2019-01-07 17:00:00,131.1616,-71.43400000000001,-59.7276,0.0,0.0
2019-01-07 18:00:00,133.32368,-71.08239999999999,-62.241276,0.0,0.0
2019-01-07 19:00:00,131.63827,-67.9388,-63.69947,0.0,0.0
2019-01-07 20:00:00,121.86465,-61.440400000000004,-60.424249,0.0,0.0
2019-01-07 21:00:00,113.08986,-56.26240000000001,-56.827459,0.0,0.0
2019-01-07 22:00:00,104.83204,-52.684,-52.148043,0.0,0.0
2019-01-07 23:00:00,97.101492,-44.7608,-52.340692,0.0,0.0
2019-01-08 00:00:00,90.085838,-38.239999999999995,-51.845838,0.0,0.0
2019-01-08 01:00:00,86.469881,-33.92,-52.549881,0.0,0.0
2019-01-08 02:00:00,83.615265,-32.44,-51.175265,0.0,0.0
2019-01-08 03:00:00,83.615265,-32.44,-51.175265,0.0,0.0
2019-01-08 04:00:00,87.058811,-34.239999999999995,-52.818811,0.0,0.0
2019-01-08 05:00:00,99.935611,-38.879999999999995,-61.055611,0.0,0.0
2019-01-08 06:00:00,119.9933,-52.5508,-67.442497,0.0,0.0
2019-01-08 07:00:00,132.82469,-65.83919999999999,-66.985492,0.0,0.0
2019-01-08 08:00:00,136.39673,-71.3532,-65.144444,0.0,0.1009105
2019-01-08 09:00:00,126.67067,-71.75919999999999,-55.416024,0.0,0.5045525
2019-01-08 10:00:00,125.43703,-72.86760000000001,-53.208525,0.0,0.63909983
2019-01-08 11:00:00,125.38589,-74.5216,-51.469754,0.0,0.605463
2019-01-08 12:00:00,119.19968,-72.5292,-47.343221,0.0,0.67273667
2019-01-08 13:00:00,119.5089,-70.32239999999999,-49.623778,0.0,0.43727883
2019-01-08 14:00:00,121.15159,-67.93239999999999,-53.38737,0.0,0.16818417
2019-01-08 15:00:00,122.87786,-67.9332,-54.978296,0.0,0.033636833
2019-01-08 16:00:00,124.11101,-68.53439999999999,-55.576605,0.0,0.0
